Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor
1980-11-14,17.029159546,17.268163681,16.820028305,17.118785858,1.168913510,"3,778,570",0.00,0.00,0.068282501
1980-11-17,17.118785858,17.148662567,16.879779816,17.118785858,1.168913510,"3,184,024",0.00,0.00,0.068282501
1980-11-18,17.118785858,17.357791901,17.118785858,17.208412170,1.175033419,"3,575,646",0.00,0.00,0.068282501
1980-11-19,17.208412170,17.387666702,17.029159546,17.059034348,1.164833527,"2,695,751",0.00,0.00,0.068282501
1980-11-20,17.059034348,17.268163681,16.879779816,17.208412170,1.175033419,"2,020,035",0.00,0.00,0.068282501
1980-11-21,17.118785858,17.118785858,16.760276794,16.820028305,1.148513597,"1,580,715",0.00,0.00,0.068282501
1980-11-24,16.820028305,16.820028305,16.610898972,16.820028305,1.148513597,"2,153,923",0.00,0.00,0.068282501
1980-11-25,16.820028305,16.879779816,16.610898972,16.610898972,1.134233723,"1,968,572",0.00,0.00,0.068282501
1980-11-26,16.610898972,16.670650482,16.401769638,16.431644440,1.121993775,"2,207,897",0.00,0.00,0.068282501
1980-11-28,16.431644440,16.461519241,16.162763596,16.282266617,1.111793884,"1,687,407",0.00,0.00,0.068282501
1980-12-01,16.252389908,16.252389908,15.893880844,15.893880844,1.085273932,"2,096,184",0.00,0.00,0.068282501
1980-12-02,15.893880844,16.252389908,15.834130287,16.222513199,1.107713771,"2,581,946",0.00,0.00,0.068282501
1980-12-03,16.222513199,16.491395950,16.132886887,16.252389908,1.109753828,"2,343,040",0.00,0.00,0.068282501
1980-12-04,16.252389908,16.610898972,16.132886887,16.342016220,1.115873737,"2,337,601",0.00,0.00,0.068282501
1980-12-05,16.342016220,16.461519241,16.132886887,16.132886887,1.101593863,"2,008,320",0.00,0.00,0.068282501
1980-12-08,16.073135376,16.073135376,15.774378777,15.864006042,1.083234006,"2,956,833",0.00,0.00,0.068282501
